src,dst,2017,2018,2019
Android Studio,RStudio,143,454,455
Android Studio,React Native,0,0,2162
Android Studio,React.js,0,0,3231
Android Studio,Ruby on Rails,0,0,792
Android Studio,RubyMine,147,338,346
Android Studio,Spring,0,0,2111
Android Studio,Sublime Text,0,5088,4308
Android Studio,TensorFlow,0,0,1323
Android Studio,TextMate,0,240,264
Android Studio,Torch/PyTorch,0,0,403
Android Studio,Unity 3D,0,0,2060
Android Studio,Unreal Engine,0,0,662
Android Studio,Vim,0,3102,3030
Android Studio,Visual Studio,2306,5133,5029
Android Studio,Visual Studio Code,1091,5060,7703
Android Studio,Vue.js,0,0,1588
Android Studio,Windows,0,0,2544
Android Studio,Xamarin,0,0,1302
Android Studio,Xcode,1359,3348,3602
Android Studio,Zend,55,141,194
Android Studio,jQuery,0,0,5558
Angular/Angular.js,.NET,0,0,7139
Angular/Angular.js,.NET Core,0,5218,5443
Angular/Angular.js,ASP.NET,0,0,6519
Angular/Angular.js,Android Studio,0,3821,0
Angular/Angular.js,Ansible,0,0,1311
Angular/Angular.js,Apache Spark,0,0,866
Angular/Angular.js,Atom,0,3984,0
Angular/Angular.js,BSD/Unix,0,23,15
Angular/Angular.js,Chef,0,0,493
Angular/Angular.js,Coda,0,142,0
Angular/Angular.js,Cordova,0,2772,2498
Angular/Angular.js,CryEngine,0,0,147
Angular/Angular.js,Django,0,2037,2127
Angular/Angular.js,Drupal,0,0,827
Angular/Angular.js,Eclipse,0,3736,0
Angular/Angular.js,Emacs,0,510,0
Angular/Angular.js,Express,0,0,5241
Angular/Angular.js,Flask,0,0,1827
Angular/Angular.js,Flutter,0,0,701
Angular/Angular.js,Hadoop,0,682,776
Angular/Angular.js,IPython / Jupyter,0,948,0
Angular/Angular.js,IntelliJ,0,5750,0
Angular/Angular.js,Komodo,0,120,0
Angular/Angular.js,Laravel,0,0,2150
Angular/Angular.js,Light Table,0,57,0
Angular/Angular.js,Linux-based,0,3795,4001
Angular/Angular.js,MacOS,0,5006,2181
Angular/Angular.js,NetBeans,0,1630,0
Angular/Angular.js,Node.js,0,11444,11213
Angular/Angular.js,Notepad++,0,6928,0
Angular/Angular.js,PHPStorm,0,2126,0
Angular/Angular.js,Pandas,0,0,1352
Angular/Angular.js,Puppet,0,0,492
Angular/Angular.js,PyCharm,0,1976,0
Angular/Angular.js,RStudio,0,389,0
Angular/Angular.js,React,0,5376,0
Angular/Angular.js,React Native,0,0,2152
Angular/Angular.js,React.js,0,0,6256
Angular/Angular.js,Ruby on Rails,0,0,1399
Angular/Angular.js,RubyMine,0,376,0
Angular/Angular.js,Spark,0,637,0
Angular/Angular.js,Spring,0,3611,4023
Angular/Angular.js,Sublime Text,0,6010,0
Angular/Angular.js,TensorFlow,0,964,1397
Angular/Angular.js,TextMate,0,217,0
Angular/Angular.js,Torch/PyTorch,0,209,416
Angular/Angular.js,Unity 3D,0,0,1672
Angular/Angular.js,Unreal Engine,0,0,586
Angular/Angular.js,Vim,0,4417,0
Angular/Angular.js,Visual Studio,0,7503,0
Angular/Angular.js,Visual Studio Code,0,10027,0
Angular/Angular.js,Vue.js,0,0,3388
Angular/Angular.js,Windows,0,10026,2853
Angular/Angular.js,Xamarin,0,1403,1393
Angular/Angular.js,Xcode,0,1828,0
Angular/Angular.js,Zend,0,122,0
Angular/Angular.js,jQuery,0,0,10218
AngularJS,.NET Core,2049,0,0
AngularJS,Android Studio,1567,0,0
AngularJS,Atom,2139,0,0
AngularJS,Coda,64,0,0
AngularJS,Cordova,1475,0,0
AngularJS,Eclipse,1907,0,0
AngularJS,Emacs,337,0,0
AngularJS,Firebase,857,0,0
AngularJS,Hadoop,361,0,0
AngularJS,IPython / Jupyter,353,0,0
AngularJS,IntelliJ,2375,0,0
AngularJS,Komodo,71,0,0
AngularJS,Light Table,30,0,0
AngularJS,NetBeans,787,0,0
AngularJS,Node.js,4905,0,0
AngularJS,Notepad++,3115,0,0
AngularJS,PHPStorm,1019,0,0
AngularJS,PyCharm,797,0,0
AngularJS,RStudio,170,0,0
